## x86_64
# alinux2
us-west-2: UNSUPPORTED
# centos8
af-south-1: ami-0d8410c47fc3112e0
ap-east-1: ami-0bce52242167b32ff
ap-northeast-1: ami-0326091ad900b6ae6
ap-northeast-2: ami-0cbf14503529037ac
ap-northeast-3: UNSUPPORTED
ap-south-1: ami-01600e672cfee57ee
ap-southeast-1: ami-017fd95ac6d2eb895
ap-southeast-2: ami-0fb175eb0fb41f248
ca-central-1: ami-085b789a3061fab78
cn-north-1: UNSUPPORTED
cn-northwest-1: UNSUPPORTED
eu-central-1: ami-062219530533a937e
eu-north-1: ami-09daecf523450087f
eu-south-1: ami-06c7f17ecf0d1912d
eu-west-1: ami-0bfc1302346fc0bdd
eu-west-2: ami-0a554cfbc6f493b8b
eu-west-3: ami-07f9ee48b3275134d
me-south-1: ami-02d5107f066b0b734
sa-east-1: ami-043cee8474e331f15
us-east-1: ami-0012b0e32aeeb20bc
us-east-2: ami-0b4fa48a1683f863f
us-gov-east-1: UNSUPPORTED
us-gov-west-1: UNSUPPORTED
us-west-1: ami-0c56f4d1503d0eac6
us-west-2: ami-08f28b0c18a48620c
# ubuntu1804
af-south-1: ami-09037fe1c42341264
ap-east-1: ami-0c96ab82a56224d70
ap-northeast-1: ami-085bea02e79a275e7
ap-northeast-2: ami-0442d4cfe553d6bd5
ap-northeast-3: UNSUPPORTED
ap-south-1: ami-06818818b274d154f
ap-southeast-1: ami-08a6fcbc9c129dee7
ap-southeast-2: ami-071157ca383286292
ca-central-1: ami-06207e8ed2e97394c
cn-north-1: ami-0582fcf140044dcd7
cn-northwest-1: ami-0cc92afadad348a45
eu-central-1: ami-0390471e8a95dccbc
eu-north-1: ami-0dac54546a6b8239a
eu-south-1: ami-0fa57e8469cfbc71e
eu-west-1: ami-022355730feadc8ed
eu-west-2: ami-0df11f238c365de84
eu-west-3: ami-074e3d19d16a792e8
me-south-1: ami-0c554b35d53ad3ebf
sa-east-1: ami-0a76484b50f285c87
us-east-1: ami-0c39beb7642835b23
us-east-2: ami-08c3a90b143349b7d
us-gov-east-1: ami-0dfa1a7bd99115541
us-gov-west-1: ami-08c53d6c71a0a7a86
us-west-1: ami-032452eb8eab63a5d
us-west-2: ami-06733b488c5ca2d78
